Категория;Вид;Тип;Описание
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.01 Прорыв трубы;Трубу прорвало запах много воды вода везде трубы менять труба с дырой большой напор срочно 
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.02 Течь вводного крана;Кран течь вводный
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.03 Течь в подвал;Подвал затопило течь неизвестно где все в воде плохо плесень сырость сыро 
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.04 Нет холодной воды;Только горячая вода холодной нету не греет тепла нет 
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.05 Течь смесителя в ванной;Смеситель в ванной лопнул кран вода не течет труба брызги много воды 
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.06 Течь смесителя на кухне;Смеситель лопнул течь брызги кухня прокладка вода много везде затопило кухню
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.07 Срыв гибкой подводки в ванной;Гибкая проводка в ванной сорвало заливает все в воде сантехника поломка
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.08 Срыв гибкой подводки на кухне;Заливает кухню под раковиной вода все залило кран сорвало сантехника сломалась
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.09 Срыв гибкой подводки в туалете;Заливает туалет все в воде мокрое подводка гибкая сломалась
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.10 Течь бачка унитаза;Унитаз течет вода под унитазом мимо бочка не смывает утечка воды вода на полу в туалете
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.11 Плохое качество воды;Вода грязная с осадком осадок цвет запах от воды налет на кружках качество плохое ужасное неудовлетворительное 
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.12 Нет напора воды на газовую колонку;На газовую колонку не идет вода напора нет колонка не греет воду трубы холодные
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.13 Смена пробко-сальникового крана ХВС в подвале;Кран в подвале сломан надо менять подвал затопило размывает 
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.14 Нет напора воды в кране ХВС;Вода нальется слабый напор еле капает течет мало слабо тихо 
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.15 Течь под ванной;Под ванной образуется течь лужа брызги подтеки вода льется мимо можно затопить соседей страшно
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.16 Течь с потолка;С потолка течет крыша протекает соседи сверху затопили течет по стенам требуется косметический ремонт 
Эксплуатация жилого фонда;01 Холодное водоснабжение;1.17 Подмес горячей воды в холодную;Вода всегда теплая ощущения что потоки смешиваются вода сливается не регулируется напор и температура 
Эксплуатация жилого фонда;02 Лифт;2.01 Неисправный лифт;Лифт не работает вообще полностью не работает не едет не открывается не приезжает при нажатии кнопки вызова
Эксплуатация жилого фонда;02 Лифт;2.02 Вибрация кабины лифта при движении;Кабина лифта вибрирует при движении страшно лифт может оборваться эту проблему нужно срочно исправлять
Эксплуатация жилого фонда;02 Лифт;2.03 Переподъем или переспуск кабины относительно этажа;При остановки лифта он останавливается выше образуя порог либо ниже пожилым не удобно не заметив можно упасть
Эксплуатация жилого фонда;02 Лифт;2.04 Неисправное освещение в лифте;Освящение в лифте мигает выключается темно страшно каратит без света в лифте тяжело 
Эксплуатация жилого фонда;02 Лифт;2.05 Не работают кнопки в блоке управления;Лифт вызывается но уехать на нем нельзя как и пользоваться кнопки не работают на блоке управления некоторые кнопки не нажимаются
Эксплуатация жилого фонда;02 Лифт;2.06 Кабина лифта не убрана;В лифте грязно кто то спустил нужду запах ужасный кто то разрисовал лифт маркером или баллончиком ехать не приятно пользоваться лифтом не хочется
Эксплуатация жилого фонда;02 Лифт;2.07 Заклинило двери лифта;Двери лифта заблоковались лифтом нельзя пользоваться как с этим быть? Лифт не работает двери приоткрыты в лифт не попасть не пролезть 
Эксплуатация жилого фонда;02 Лифт;2.08 Застревание пассажира;Застрял в лифте помогите освободите как можно быстрее нужна помощь у меня клаустрофобия кнопки лифта не работаю свет выключился
Эксплуатация жилого фонда;02 Лифт;2.09 Залитие шахты;Затопило шахту лифта на первом этаже вода заливается в лифт ноги мокрые есть вероятность аварии
Эксплуатация жилого фонда;02 Лифт;2.10 Связь Лифт;Застрял в лифте не получилось набрать по громкой связи диспетчера кнопка или звук наработали